Message,Reply
Well done on your excellent marks Nic .... top 15 per cent! Did Erin ever respond to Faith's reaching out to her?,"Sorry for not responding, this semester has been very busy. Thank you, was very cool to hear about it. I also got another award for being in the top 5% of the economics faculty. Erin did respond and her and faith have been talking."
"Awesome Nic
.so proud of you. Well done. Combination of effort and brains. Yes I have a really wonder day planned. Breakfast with Gapu,Morning tea with two other Leo girl friends ( annual event) Croquet at Thyme Out. And finally drinks and snacks at our home...Westover.",Sounds great . Hope it’s gone great
"Please say thanks to Faith, from us and from Luna...who is more exhausted than we are after a day packed with great activities. A really great 75th Birthday!",Very glad it was so good. How’s luna doing?
Did you see the hand embroidered key rings on the family app? They are all one of a kind. You will see some have already been chosen. An elderly Nursing Sister embroiders them. Please choose one of the one's left... you will find them in your Christmas stockings. ,"Hi nana, sorry I’ve been away from stellies the past 2 days. They all look very cool. I’ll take the hedgehog if I can"
How are you doing Nic...finished with exams. Just being sharing some family history with Daniel...not sure if you are interested?,Hi nana. I have 2 exams left unfortunately. All the other exams have gone well thankfully. Yes I’m definitely interested thanks. How’ve you been?
Will send to you. Stay strong!,Thanks nana
When will you be finished?,I finish on the 27th of November
Happy birthday Nic! Have a lovely evening and lots of love,"From you Mom's Cousin, Melanie who lives in Hoedspruit."
She is too gorgeous! Presume Nala will grow into her ears?,She really is. We think she has some strong African wild cat genes and may just keep the oversized ears
"Theressa and Kevin are coming to Stellenbosch to the Wood Mill weekend if 28th. They are coffee makers in Wakkerstroom. Pop in to see them and introduce yourselves, Nic and Faith.",They are both residents of Wakkerstroom.
"A little star! Starting formal obedience training next week. She keeps us awfully busy, always wanting us to throw her rope or ball for us. When my sister, your Great Aunt Luz, came to visit last Monday, Luna figured out that she is challenged heakthwise after her stroke/heart attack (???), and was sweetness personified with her.  You and Faith need to visit sometime to renew acquaintances with her. Ho is your little Nala?","We definitely will. Nala has been great, she’s the sweetest little cat. She growing a lot at the moment as expected"
Photo,Very cute
but yeah the demi said just the jasmin.jar and put it in simpl directory,Yeah got it thanks
have you tried the trivial program thing ?,"Nah not yet, gonna start today"
"hey nic 
um im having some family problems I need to deal with
 

I am so sorry but Im not sure if im going to be able to make it to your bday, I will try come later if I can though","Sorry natasha, seriously no stress. Come whenever you can if you can…"
"I’m really sorry I couldn’t make it 
Hope you guys still had a great time :)

And tell faith I say hi and will be inviting her on outings soon","Really no stress natasha, I hope everything is good"
"I’m really sorry I couldn’t make it 
Hope you guys still had a great time :)

And tell faith I say hi and will be inviting her on outings soon",I will :)
How's your work been going?,How was the past 2 days? Hope they went well
You gonna come with then?,Yeah sounds good
Busy but fine,"That’s good, glad it wasn’t absolutely horrible"
I'm gonna go pro,Honestly could
How was your exam on Tuesday and comp sci quiz?,Exam was ok but the comp sci was horrible 
Also you keen to watch the rugby today?,Sorry going to Cape Town today. Enjoy
Are you home at the moment? Cause I've got a checkers 6060 order that will arrive around 3:10 today,Ya sure. Maybe just call when it’s here
"No climbing for us today, nobody was there ",That’s actually crazy
Damn you not tell them we are one big happy family?,Tried our very best
I was gonna ask kev and kian I'd they wanted to yesterday but they were getting completely wasted as usual for a friday,lol
The padel employee from last night ,No way 
Just let me know if you do want to go to casa this weekend. Seriously no pressure or rush though,Ok yeah how about tmrw?
Also sorry that your paper yesterday didn't go great,"thanks Dan, hopefully can make up for it in the a2"
If you did still want to just let me know what times work for you but seriously no pressure,"Yeah I’m down, is it chilled if faith comes too? I don’t really mind what time. What works for you?"
"Yeah of course, I just assumed you both would be coming together",Ok cool cool
https://m.chaseveritt.co.za/results/residential/to-let/stellenbosch/onder-papegaaiberg/apartment/4192203/,I really like this one
https://m.chaseveritt.co.za/results/residential/to-let/stellenbosch/onder-papegaaiberg/apartment/4192203/,I completely forgot to send a query and was going to do it now but I read the description again and it says that there is only 1 parking available for the unit and we can't rent any more
"Hey Nic, I've been talking with mom and dad about masters and am starting to think about whether I'll be able to get the marks required to get into masters and if it would be best for me to take a break from studying next year. I'm not really sure where I'm at yet but thought it would be best for you to know especially when looking for accommodation. This is pretty late and I'm sorry about that but it might be best for you to also start looking at accommodation without me for now. Maybe I can come over to your place later or you to mine to discuss it more in person if that works for you?",Okay yeah of course. Really don’t worry about me I’ll be able to find I place if you do end up not staying. How about I come to you later? Like after 5ish?
Just exams now,Ok nice
How's your work been going?,Yeah not too bad. Just getting through work for exams now pretty much
What time is Jono gonna get here?,What time you rate? 13:40?
How's your work going?,"It’s going okay. Just hard to get myself to work now, been a long semester."
You write on Thursday or Friday right?,Yeah on Friday
It's going OK but I don't really have time to do what I would have liked before tomorrow's exam,Damn that doesn’t sound fun. What time do you write?
"How are you feeling about it, also when is your next one after that?",Not really sure. Kinda depends on how they ask it. Could go either way
9am ,Damn. Goodluck Dan. Hope the studying has gone well
Goodluck for your exam today,Thanks Dan
Me and Kevin and maybe Kian are going to the Library tomorrow from 2-6pm. We have a booking in one of the seminar rooms there. You're also welcome to come with to study there with us if you want but seriously no pressure as well.,Yeah sounds good I’ll join
Cool does leaving at 1:45 work for you?,Yeah perfect 
Also Faith is welcome to join if she's with you. There are 10 chairs in the rooms so more than enough space,Thanks Dan she’s not studying at the moment so won’t join
Also bring a hoodie or jacket with as well cause the bib can get a bit chilly at times,Good to know
Goodluck for your exam tomorrow,Thanks Dan
Got a booking to check out of our place for you right after me at 12:00 on the 30th,Ok cool thanks
How's your studying been?,Yoh it’s been hard to get myself to work the past few days
How was your exam this week,"Didn’t write this week, I write comp sci on the 20th"
You gonna come to Kians today?,Yeah
"We gonna head to tops now, you guys want anything?",No thanks. Gonna go in a bit to get some stuff
"It was good, was able to get pizzas still which was nice",Very nice
You keen to watch the rugby at kians later for a little break?,"Nah sorry, was busy today and got back recently so need to get some work done"
Would you be OK with driving me to my haircut that starts at 9am tomorrow? If so could we leave at like 8:50?,Yeah of course
Faith is also invited,Thanks Dan
Maybe even 15 to 9,Actually definitely the later time cause she'll still have to get off the plane and stuff
Knowing mom she might also go to the woollies though,Yeah 
Thank you for doing it by the way,No stress
And I definitely owe you one,I’m happy to do it don’t worry
Thanks again for all the help,No stress
"Also to open the petrol thing, you need to pull up a little thing that is on the floor on the right side in front of the front seat",I couldn’t find it but the guy working there did it for me 
How are you feeling after your surgery?,Yeah pretty good honestly. No pain so far
"It's been really cool, Shanghai feels like Chinese New York",Is Shanghai the one in your profile photo ? Looks futuristic
But I could definitely do with a bit more sleep and a bit less food ,I can imagine 
How are you feeling from the surgery currently? Still fine?,Yeah pretty good. Recovery has gone well thankfully
Got the bamboo one,Ok sick sorry was at breakfast
Apparently you can't share the picture I sent of the bamboo though cause its an early release,Damn 
Not too many days left here though,Yeah crazy you back so soon
R350,Ok cool
The store guy had to get Kevin to translate that lego would sue me if I posted it on social media before January 1st 2025 ,That’s crazy 
Also what do you want to get Dad for Christmas? Cause maybe we could order him something of Takelot,Mom bought him headphones that we can contribute to
I couldn't think of anything big to get him here. I did get him a white rabbit sweet pack with about 8 different white rabbit flavours that can be part of it from both of us though,Ok sick good idea
Happy 21st Birthday Nic. Hope you have a great day and are able to celebrate today a bit before we're all able to at your party next week,Thanks Dan
Also what are your banking details?,I’ll send through now. What for?
I got monitor arms and am redoing my room a bit,Monitor arm looks sick. Which one did you get?
I finally let mom and dad know about Kelly now ,Damn
They were a bit excited and found it funny I lied about where I was the last 2 weekends,
Yeah still good. Going to the concert on Friday with her and her friend,Very nice
Yeah I hadn't yet. And I don't think mom had even suspected anything at that point. Thanks for not spoiling anything ,Of course… very surprised she didn’t suspect it
You guys happy with getting the kitten?,Yeah very… was a very rash decision but very happy with it
She's very cute,She so tiny too
How's your work been going?,Much better now that a lot of the pressure is off
How's Nala been?,Very cute and very crazy haha
You home to do a short call about dad's birthday?,Yep 
We must just discuss organising you heading here for dad's birthday soon,Yea agreed
"Hi Nic, I am still available. Rates are R250/hr for the 5 lesson package and R300/hr for 1 lesson. 

All lessons are done via teams using an iPad and apple pencil. Let me know if you would like to book, then I will send through banking details and we can start scheduling lessons",Ok cool cool. I’ll do the R250/hr for the 5 lessons 
Perfect. So we can start doing lessons anytime from Friday onwards? What day and time works best for you?,Does Saturday work? Anytime after 2 on Saturday works for me
"Here are my banking details:

Bank: Absa Bank
Account Holder: Mr N Naidoo
Account: Current/Cheque 
Account Number: 4098040428
(Use your name as reference)",Ok cool I’ll pay now. Is it fine if I pay for all 5 lessons now?
Does Saturday 5pm work?,Yeah sounds great
Thank you,Pleasure 
Hey Nic can we schedule our next lesson for the 15th of May at 9am?,Yeah sounds good 
"Hi Nic, hope you are well. I'm currently ill at the moment so would It be okay if we postpone the lessons to Saturday morning cos I need to take a couple days off. We can do a double on Saturday to make up for lost time. I'll also send you all the slide notes up till the A1 content so that you can go through the practice questions in the meantime. That way when I see you next session we are hitting the new A2 content down","Oh shoot hope you get better soon, seriously no stress; Saturday works great."
11-1pm tomorrow?,Sounds good 
Ill try ny best to get it to you by tonight or latest before 6am tomorrow,Ok sick 
2:18,Ok yeah it does  thanks for the help 
Also please provide your bank details so I can refund you for 2 of the lessons,Bank: Absa 
How was it?,Not my greatest performance  but should be enough to pass. Thanks for all the help btw 
https://youtube.com/shorts/q01zpa6Dnfc?si=wO68E4uF7AvhutyG,Ah bro that’s so nasty
"Okidoki bro
I’ll make the booking in a bit",Sick thanks
Do you have new balls by any chance?,No 
Or are we going to use my dog balls,I honestly don’t mind that though
We can play indoor?,Yeah sick
How was your test?,Was decent thanks
Photo,Damn
Hey Nic! Are you back in stellies?,Getting back later today
Why don’t you have a profile pic?,lol
What time are we playing tomorrow?,It’s gonna have to in the evening if that’s chilled; only getting beck to stellenbosch tmrw evening
I got my rackets restrung and got us some new balls too so I’m sorted for when we next play,Hell yeah sounds good
Should I book the indoor?,Yeah sounds sick. I got tennis balls too
https://www.tiekie.co.za/products/ingco-2-piece-lithium-ion-combo-kit,This one comes with a grinder
https://gimmeonline.co.za/product/compact-brushless-cordless-impact-drill-kit-cdli20668/,This one is cheaper without a grinder
"Ingco - Compact Brushless Cordless Impact Drill - 66Nm available to buy online at @TAKEALOT We offer fast, reliable delivery to your door.
https://www.takealot.com/ingco-compact-brushless-cordless-impact-drill-66nm/PLID96379692",This is one on takealot that is only a drill as well
"Somerset Timbers (Pty) Ltd
021 845 8713 https://g.co/kgs/mEPqAPM",This is the wood place
"Ingco - Compact Brushless Cordless Impact Drill - 66Nm available to buy online at @TAKEALOT We offer fast, reliable delivery to your door.
https://www.takealot.com/ingco-compact-brushless-cordless-impact-drill-66nm/PLID96379692",This looks proper
"Howit bro
Sorry for not being able to join last night. I was so dead tired that I fell asleep on the couch after I spoke to Faith But I hope you had a good night out and we should do something this coming week to catch up",No worries bro. There’s no ways I would be able to go out after that long a drive. We must definitely do something soon
Hey bro. We’re having a drinkie at Kians if you are keen Very last minute though,Ahh sorry bro I just have a little bit too much to do before tmrw… have to fix faiths headlight on her car 
You me Faith and Danya?,Very very keen
We should play some padle this week?,Any time this week works I think…  what time works best for you?
I would be keen tomorrow even,Yeah that sounds good
2pm?,Yeah sure
Faith and Danya?,Ye sounds good 
Friday what time?,Probably afternoon
What was your ai prompt for this sticker?,Black man in red shirt 
Let’s make a group then for us to play paddle? Us 4,Will do. Will make it in a bit 
7pm,Sounds good
Okidoki bro not to worry Would you like to play on Monday then?,Yeah I’m keen
How was your exam bro?,Was good thanks. Slightly better than I was expecting
Are you free at 7pm? We can maybe play miss the smash later then if you’re keen?,Yessir 
See you all at 7pm,Did you go?
Tomorrow at 10am?,Yeah that works
Maybe it’s just out of place. I get it a lot,damn... do you get from tennis?
The second part is what I usually do. But push your leg sideways more than what he is Then it will do a little pop,oookay I'll try it in a bit and ill let you know
Naughty Good luck,thanks chief
Okidoki not to worry I’m glad to hear that you are doing better,Does tmrw work for tennis??
Please wish her a happy birthday from me,Will do 
Hi Nic. Just wanted to say hello.  Also wanted to say that I have been absent from communication with you and attention for the last months. Just so busy you see. I suppose I also think that you are strong and capable and can stand a bit of neglect. But I hope to give you more coms from now. No need to respond or feel pressure. Love you boy. D,"No stress, I’ve also been pretty absent. I didn’t think anything of it, I know you’re super busy. How’s work been? Love you too dad"
Hi Nic. Hope you are good. Just a reminder that it is mother's day tomorrow. Probably a good idea to phone mom and to wish her. Love you,I will!
Hi Nic. Good luck for your exam. Let us know how it went.,Thanks dad. Went okay for not having studied
Hi Nic. Wishing you all the best for mathsstats tomorrow. ,Thanks dad
Hi Nic. Mom and I are going out tonight. I am going to take a nap now. Can I phone you tomorrow?,Yep that works  enjoy
Hi Nic. I want to start taking Creatine. Can you suggest a brand and dose etc. And where can I buy it.,"Ok cool cool. Why’d you decide to start? Definitely think most people should take creatine, it has a lot of benefits"
 thanks. Heaped tablespoon or the spoon in the container?,Spoon in container
" sorry to hear that. Keep your chin up though. As said before, if you find it hard then others harder.when are you writing the last one?",Writing on the 24th. Apparently it’s an easier exam
https://www.scholarshipregion.com/stellenbosch-university-scholarship/,"I just checked through it and from what I can tell it’s only for when you do masters degree. But thanks dad, I appreciate it"
I have been watching a series on Netflix called Kleo. It's a little off the wall but fun. Well made and good acting. Give the  1st episode a try,I’ll give it a go and let you know
"Hey Nic. Congratulations about  your achievement. Sounds fantastic. Let us know what that all means practically. Let's chat on the weekend and we can catch up and discuss this. As previously discussed, any discount obtained by you for tuition will be given to you. Love dad","Thank you dad!! I think it works out to around R12000 off of uni fees for the next payment to the uni, but not entirely sure. Hope works been going well"
A quietish day but because I rode with Kevin this morning my energy started waying after 2pm. Eventually went home. The first few times are going to be rough. What did you write and when will you get youtlr marks,Is work still busy recently ? Or relatively quiet? 
Hi Nic. How are your feeling?,Took the last two days chilled so definitely feeling more relaxed. How’re you doing?
Hi Nic. Did I pay you last month?,Yes you did. Why?
Good luck for today. Wishing you a fair paper. Let us know,Thanks dad
Photo,Is it a new movie?
10cm maybe.,Measures it and yes it is 10cm
The question is how much you need get the machine closer to the wall to get the door closed. May only 2cm? My concern Nic is that you would need to raise the machine quite a lot to get it over the tap. This must be resolved by a plumber i think. Maybe add an extension against the wall (elbow joint) to lift the tap above the machine?,Would have to lift it probably 30cm up. But that work because we want a cupboard/storage thing underneath to keep our bathroom stuff
Hi boy. Sorry I was abrupt with you earlier. Just had a busy day.  I was not pissed off with you at all. Chat tomorrow,"No stress dad, knew you weren’t mad at me. Thanks for helping me sort this out"
Hi Nic. How's it going? I understand that you are working towards a test?,Hi dad. All good here. I’m writing a test the evening and have another one next week Tuesday so ramping up the work a little bit. How’s your work been?
Hectic. But relaxing a bit. My stress levels have been too high but now doing 10-15 min an tge indoor bike and sleeping earlier every night. Seems to be working a bit. How is Faith? How is Nala?,That’s good that you’re taking care of yourself. How’s the new employee? Faith is under a lot of pressure at the moment so she’s quite stressed. Nala is growing super fast and is full of energy but she still very sweet
"Hi Nic. Daniella started on Monday. I have very little contact with her but my feedback from Jessica is good and she is pleasant. Vee had her operation yesterday and she may be out for as long as 5 weeks  one step forward and 1 back. Iro Faith, at least you are there to make things easier for her. Please send her my best. Can't wait to meet Nala.",Yes really looking forward to having you guys here. Is she not going to work at all in that time?
i’ve sent the 388 notes through as well,Awesome thank you. Notes look great!
Why the hell was I so keen last year to be in uni,Fr
Rico had the right idea fr,Fr fr
"Not much honestly hey, uni has been keeping me pretty busy",That’s good though. Still enjoying your course?
And yourself ? How's things with faith ?,Yeah bro also just so busy with work that not much else is going on. Everything’s going well with faith too
"Yeah still enjoying it, probably going to see if I can finish this course and then do honors in physio",That sounds good bro
Listen boet you need to come back in June so we can get up to some tomfoolery,Fo sho
"Definitely, are you free today ?",Yebo
0:51,Not too sure how well tmrw will work. I have to be here for the people coming to fix my moms car and and have an eye appointment at 2pm
What time do you want to gym ?,I’m not sure when I’m going to be done at the optometrist
Are you and Faith gonna be busy at 9 on Saturday,Morning??
My bad forgot there were two 9 o'clocks,lol
"Got varsity for a bit, and then I've just got some work to do",Sounds lovely 
"Happy birthday broski, have a great day and a blessed year ",Thanks brother 
0:54,Of course. You really are my boy no matter what. Hope you have a good year too bb
Please confirm your ID number,0402055190084
But I wanted to know if you’re down for padel soon,When you thinking ?
I was checking for this evening since we have tomorrow off,Im down to play tonight
We need to pick another day it’s raining tomorrow,Ok yeah fair enough
Firstly thank you so so much for inviting me tonight I had the nicest time my brother,I’m so glad brother
Idk if you remember but I was being dead serious about building my desk so lmk when you’re free,"I’m keen, could even come this evening if that works?"
That would be beautiful,Does 16:00 work?
17 Dennesig street,Sick thanks
Once again bro thank you so so much for helping it means a lot,Of course brother
I will most definitely be seeing you this weekend,For sure
I’m gonna be in Cape Town with some family,Enjoy brother
I might build it tn anyways just bc the box is taking up a whole bunch of space,Cool cool let me know
Pls tell faith I said happy birthday,She said thank you
I heard that shi was easy,Ye it was easy but only if you knew what was going on if that makes sense
Anyway what did you get for A1,67 for sec a and 87 for b
Ok that makes me feel better cause idk what you for for the A1,That A1
Good,Thanks baby. What you get??
I just gotta bang that A2 I fucking hate the maths group,Same fr
I’m assuming that you got the epsilon delta thingy right,Yeah I did and you??
100 . 84,Holy shit that’s insane
If the epsilon delta is right then my avg is 90,King
Dylan is driving and I asked him to put you n faith in his car,King thank you
Np man sorry I lowkey got irritated w Josh and Ethan and could tell they were gonna dump the night so I went to drop off Jaseer,Ye bro I think everybody was pissed with them
But I should start Ecos sometime this week because there’s a lot,Valid
How’d you do in the A1?,72
How’d you do in the essay,Got 82
"Also I need a favor, for the last week I’ve been struggling to sleep like this morning I only slept at 6am, not cause of studying just cause. Can I come by later and sample one of those melatonin pills?",I don’t have any left sorry  haven’t been taking anything recently
Depending how I feel I’ll decide if I wanna write it,You have to
If you get these can you send them to me pls.,Will do
But I like like well fleshed out notes a girl made on her ipad,Agreed
I finished chapter 4 in 2 hrs and half of chapter 5 in 1. My plan is. Finish Chapter 5 & 9 today and just do macro exam questions because Ecos exams are so diff from theory,Valid
Was there a Nash equilibrium?,Yeah I got one
Yo,Helloooo
"I’m in DatSci next semester, idk how don’t even ask. But do you think I should like take it or tell them I’m not supposed to and wait for next year?",Ah bro I think you should take it
Also I’m waiting for them to Autoremove me,Did they say they’re going to?
"Yo, Josh told me today you guys are moving into a digs next year . First of all that’s cool AF",Haha thanks Savar
Do yk how much your boy Kiran is gonna be charging rent for in Beau Vie?,I think around 20 a month
"But CS I’m giving it a better shot now, not tryna be lazy again. Project seems cool imma jump on that soon",How the bees going?
Cause I’m actually doing it more than 30 mins before submission,Proud of you
"Well you could ask faith. Tbh it’s more than the chess first hand in, that was like 100 lines or something, a bit more validation here. But I find it not too bad , maybe cause it’s my second time","Makes sense. Well good luck for it, let me know how it goes"
Where are you moving next year ?,Don’t have a place yet unfortunately
Maybe out of stellies cause it’s cheaper,Yeah I think it’s the play
I heard out of stellies . I’m tryna look for a 1 bedroom somewhere too,There’s a lot of nice places a bit further out of stellies
Yeah I’m tryna convince Josh and maps to move or of stellies w me,Ohhh makes sense. You should ask Dylan if you want. He’s looking for a new place too
Like the rents too high,Real
"We can submit an essay multiple times right, just to check out the plagiarism score?",Faith says yes
"It’s weird because it’s not like the other Ecos modules. This is just straight theory, no graphs nothing",Agreed
Damn did you just read the stuff,Yessir
Besides CS I have no other excuse to not do well at this im just not taken to these topics,Yeah they kind of boring
"Yo man, do you by chance have the chess game project from last year",Don’t you have your one?
But it’s okay Josh sent me his,Ok nice
Photo,You gonna go?
Wasn’t expecting anything great tbh,Yeah me neither
65 essay 64 A1,Nice
You,69 for a1 and 75 for essay
How was it ?,I didn’t write
I didn’t like it tbh,Hard or just eh?
I really wish i did that  but I alr booked my flight and mentally prepped myself to go home asap,Valid
Barely anything to do w like the good stuff like money supply and exchange rates,Damn crazy
Does it ever get easier,No
Did you pass,Yeah
Yeah,Daaamn
Wanted to be in a class w you,lol
Gooning and sorts,As you should mr
What’s your holiday plans,havnt done anyhting other than getting wisdom teeth taken out
Bro don’t reply to my November chats it feels like I’m talking to the past,haha my bad
When you in stellies,tmrw
Can’t wait to see you on your birthday though,yeah its gonna be sick. We need to see eachother more this year
Yeah but promise I feel like I only feel complete when the gents are seeing each other,yeah agreed
Can Arya and I come visit and have cocktails and talk about when we were young,thats exactly the plan bb
eThat’s insan,i know right
How’d your rents allow that,they actually wanted it to happen
If I get a 12 month contract at Maties and let’s say I’m not here for June/July and I freeze my account will it count those months in the 12 months or will it negate it,You negate those months
Yes,We can go together
I want to get big and strong like you,Making me blush
I also want to come visit you and see your new place and chill. Lmk when I can,Yeah for sure. In Cape Town for a bit but when I’m back and we somewhat unpacked I’ll let you know
What lecture,Math stats
Are you dual booting windows and Linux,Dual booting
What a nerd,Fr
Ok I think imma do VM,Fair enough
Whenever it works for you,Ermmm let me check with faith
How much will it be split,Will be 150 each including racket
Lowkey broke now at end of the month,Worst case we delay until next month
If you call now it’ll be done by tomorrow morning and we can book it,Yeah I’m keen
Hmm icl a little earlier so choose a date where you’re mostly free,Maybe weekend then? We tuts pretty much everyday unfortunately
I’ll talk to Ari idk how packed she is with exams. But if it’s just gents then I can do it. But I see how you gents move inviting Lockhat over your Day 1,It wasn’t me
"Accept my invite & Get 3 freebies!
https://temu.com/u/EbFUlMjdUqr6YSvX",Temu pyramid scheme
This is the cutest thing ever,She really is
To nga,Nga?
And how’d they allow it,i had to drop not deregister
Are you allowed to take any honors modules without first completing all 3rd year modules,yeah the requirements for the economics modules are only the modules im doing this year
So what are you taking this year,"ecos, 388, 318; cs 343; math stats 312"
And it’s faiths birthday tomorrow,And yours silly
I didn’t listen to you,Noooo
Did you use the textbook,Nah
Any YouTube channels?,No specific ones. Unfortunately at this level of stats there is none really
How’d you learn,Tuts
"Happy Happy Birthday Nic! I hope you have had a blessed day filled with tons of love and blessings. May the year ahead only be filled with the best moments of love and laughter! May you continue to mature into the wonderful young man you are and reap every ounce of goodness you sow. Thank you for being such a loving soul, we cannot wait to celebrate you! ",Thanks so much Reese. Really looking forward to seeing you guys next weekend
Hello Birthday Boy! We just wanted to say thank you so much for inviting us last night. We love being able to celebrate such an incredible young man! We really hope you are alive today. ,Thanks so much for coming :)
Hello Birthday Boy! We just wanted to say thank you so much for inviting us last night. We love being able to celebrate such an incredible young man! We really hope you are alive today. ,I’m alive but struggling 
"Also thank you so much for the jacket, I’ll grab from you guys when we braai. ","Of course, I can even drop it off  sooner… just let me know when you want it"
And I ain’t doing operations or compsci rn,Beyond Valid
I’ve just reached the point where I’ve done everything I can so I’m just waiting for the test now,Fr
We only have to do the questions from 3.1 from it right,Yeah
What time u going to the tut,I leaving here at  3:15
Do u know if we will be able to see and check our test scripts,I hope so
I’m gonna go tomorrow before the maths tut to check the maths stats A1,Awe that sounds good
Wanna hit sharms tomorrow at 11?,Rest day tomorrow sorry baby
Wanna go at 2 to check the papers,I rate at 2:30 ?
I’ll meet u by the pull up bar,I’m gonna do a set of calve raises
Imma do back at 11 then,The cleaners came early so I’m here now
Do u know if they’ve said if we can go collect our LA A1 for math yet,Absolutely no idea
Which ppl did u buy ur notes from,I bought from that one guy that goes to gym
Bro the content of AC term 2 all of a sudden got insane,Serious ?? You rate you passed?
What time u going to vote tomorrow bc I’m also at laerskool Stellenbosch then at least we can keep each other company in the line,Im not sure of the exact time. Sometime around 12. I’m going with Dan and faith and you very welcome to join
Just tell me when you’re about to leave and I’ll walk over to ur place,Probably gonna leave in like 5-10 mins
It was chilled I only studied this morning for it and copied the person in front of me for the questions I didn’t know,Beyond valid
Quarter past?,Awe
Chatgbt just gave me this answer ,What even is that 
I don’t mind playing tomorrow either,Ok awesome might do that
"Have you looked at the tut yet, is there anything we should do beforehand for it",I had a check and I don’t think there is anything
When are u gyming back day? Bc I left my straps in jozi,I’ll need my straps for legs tmrw but you can take mine today?
Awe I’ll do back on Friday then with u if that’s chilled,Yeah of course
Ross says he also wants to gym at like 10 or 11,Yeah sounds good
So which time then 10 or 11,10
Wanna walk at 8:50?,Yeah I’ll walk with you
Nvm I just saw on the group I don’t have to,Yeah we do t have to
What time u gonna go to narga today,Probably 1
Bc I only lost marks on the style check and idk where I lost them,You got all the test cases?
Did they say they not finished with the style checking?,They still going to go through to see if they need to remove marks
Yeah,Damn well done
Oh I’ll double check then,Nah I’m sure you right
"So for exit you’ll just go 
expect(TOK_EXIT);
Parse_expr();
And that’s it",You need to check if it is an expression
Do these seem valid then,Think so
So it’s probably if(token.type == TOK_EXPR) then Call expression,Yessir
Awe I promise I’m not gonna spam the whole day ,No stress bb
I saw you walking by the robot but I was on the other side of the road,Oh shit
Do we need to do these for this hand in,Nah
Do you have a buff I could use,I’ll check
Yeah,I’m honestly not sure if I’m going
I think I’m going to give today a miss,Yeah same 
What’s that game kian showed us in the tutorial,I forgot the name
Road to under 10mins starts now,Goated
Which narga are u writing in?,G
"What time u gonna go to the narga, I want to go early to practice a bit",Probably gonna go at like 12 or something
U only write at 5:40 right,Yeah why?
Just thinking what time you would finish then but it’s probably gonna be too late,Yeah gonna finish at 8
Wanna hit chest tomorrow?,Hit it yesterday
If u go before that pls save me a seat,Nah
Does he know anyone that could plug us last years A1,Nah don’t think so
Isnt it always 17:40,I think class reps said 5:30
Awe then we’ll walk just after 5,Awe
Should we rather just book padel for tomorrow morning,What time you rate?
What time u wanna gym bc Ross says he can only do 8 tonight,Yeah I’m down for 8
Narga D,I’m in D
Sho bby hope studying is going well,Been taking the past 2 days off but good otherwise
"Quick question, do u still have a x by some of ur plagiarism checks on SUNLearn for the project hand ins?",Nah I don’t why?
How was ecos?,Didn’t right. Writing the a3 for it instead
Sho baby how you,Good good thanks
Quick question can I borrow ur fold up mattress this weekend?,Yeah of course
"Shot, can I come get it tomorrow?",Yeah sure
I’m in my stats tut like a studious ahh fool,But you on phone
They are keen to hear from you,"That’s awesome, thanks so much Miguel "
We can catch up tomorrow and discuss,"Very keen, sounds good"
0:38,Thanks so much Miguel  looking forward to celebrating with you guys next weekend
0:12,Ok awesome perfect!
Application emailed,Just got it 
0:18,No worries! See you later
0:12,Done 
Sorry for the late message. Just thinking have they fixed the washing machine tap?,Hi jean. They have not contacted me to fix the washing machine tap nor the broken outlet. 
"I will immediately follow-up again, I'm glad you found a solution but this is something that needs to be sorted.  I'll email them again",Thank you Jean
" Let me follow up immediately.
Sooo sorry",No worries. Thanks Jean
0:47,"Yes very weird that they won’t take the amendment, thank you for helping. "
I emailed you the lease with Faith added,Thank you Jean
Hi Nicholas hope you are well.  Can you please confirm if your maintenance has been attended to?,Hi Jean. Yes the came and it is fixed. Thank you !
Video,Thank you
Yeap I did it was amazing,Oh lekker that’s good to hear
Why do you ask?,Was just wondering about the dress code… did you wear a suit??
When are you going to Moore?,"I’m here this week, doing the same thing you did"
When you flying back?,Just got back
I got back last night. Man it’s cold here,Yeah bro this morning was horrible
"Shared booking at De Volkskombuis

Tap here to accept and add this booking to your Dineplan app: https://dpapp.co/X76n

Table for 6 at 19:00
Wednesday, 21 August

Download the Dineplan App: https://www.dineplan.com
Instant bookings at over 2,000 restaurants in South Africa

Map: https://dnpl.co/K9uqP
Address: 1876 Aan-de-Wagenweg, Krigeville, Stellenbosch, 7600, South Africa",Ohhh okay sick 
Shot for coming,Of course
I want to come and jam with you more. I wasn’t feeling the best today so yea hade for that. And it annoys me because then Dylan thinks he is amazing. Like I am not a tennis player for how many years as well. But yea I want to get better because i know i can,Dude we must definitely play more . Yeah I don’t know why dylan was taking it so seriously 
No cap I have missed you my boy,"Agree bro, missed you too. We must do another braai some time soon"
Yea all good. I will come pick you and your bro an then fetch Kian,Ok sick see you now
Can I add Roxy or nah?,She’s added
How’s the holiday been?,Been good thanks. Nice just chilling
Yea nice did you go anywhere?,Nah stayed here in joburg
I wrote today and I got another exam on Wednesday next week and then the following week,Damn
Not bad so fingers crossed ,Ok sick well done
When you get to Stellies?,Not exactly sure
Okay okay sounds good then we can go for a drink,Great idea
